adsh,cik,gvkey,form,filed,co_conm,will,shall,going_to,expect_to,expected_to,expecting_to
0001193125-11-295471,874761,24216,10-Q,20111104,AES CORP (THE),1366.0,164.0,0.0,0.0,0.0,0.0
0001193125-11-295489,1308161,12886,10-Q,20111104,TWENTY-FIRST CENTURY FOX INC,836.0,16.0,0.0,0.0,0.0,0.0
0001193125-11-295580,1135971,8694,10-Q,20111104,PEPCO HOLDINGS INC,1057.0,17.0,0.0,0.0,0.0,0.0
0001193125-11-295663,906709,30137,10-Q,20111104,NEKTAR THERAPEUTICS,322.0,8.0,0.0,0.0,0.0,0.0
0001193125-11-295787,1336917,165052,10-Q,20111104,UNDER ARMOUR INC,286.0,10.0,0.0,0.0,0.0,0.0
0001193125-11-296147,318154,1602,10-Q,20111104,AMGEN INC,477.0,122.0,0.0,0.0,0.0,0.0
0001193125-11-296269,721371,2751,10-Q,20111104,CARDINAL HEALTH INC,767.0,11.0,0.0,0.0,0.0,0.0
0001193125-11-296565,906107,28733,10-Q,20111104,EQUITY RESIDENTIAL,664.0,1.0,0.0,0.0,0.0,0.0
0001193125-11-296575,63908,7154,10-Q,20111104,MCDONALD'S CORP,228.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-296628,816761,178310,10-Q,20111104,TERADATA CORP,727.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-296630,1034054,121382,10-Q,20111104,SBA COMMUNICATIONS CORP,441.0,117.0,0.0,0.0,0.0,0.0
0001193125-11-296642,1103982,142953,10-Q,20111104,MONDELEZ INTERNATIONAL INC,950.0,8.0,0.0,0.0,0.0,0.0
0001193125-11-296733,717423,7620,10-Q,20111104,MURPHY OIL CORP,553.0,923.0,0.0,0.0,0.0,0.0
0001193125-11-296795,721683,10631,10-Q,20111104,TOTAL SYSTEM SERVICES INC,637.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-296806,313927,3026,10-Q,20111104,CHURCH & DWIGHT INC,1400.0,1180.0,0.0,0.0,0.0,0.0
0001193125-11-296816,1097149,141384,10-Q,20111104,ALIGN TECHNOLOGY INC,827.0,122.0,0.0,0.0,0.0,0.0
0001193125-11-296879,1115222,4094,10-Q,20111104,DUN & BRADSTREET CORP,810.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-296901,315213,2312,10-Q,20111104,ROBERT HALF INTL INC,473.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-296975,350563,10277,10-Q,20111104,TECO ENERGY INC,710.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-297029,1120193,149337,10-Q,20111104,NASDAQ INC,1133.0,65.0,0.0,0.0,0.0,0.0
0001193125-11-297241,1090727,10920,10-Q,20111104,UNITED PARCEL SERVICE INC,815.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297261,93751,10035,10-Q,20111104,STATE STREET CORP,1073.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297281,4977,1449,10-Q,20111104,AFLAC INC,556.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-297326,730464,3905,10-Q,20111104,ADTALEM GLOBAL EDUCATION INC,1038.0,4.0,0.0,0.0,0.0,0.0
0001193125-11-297350,1015780,63501,10-Q,20111104,E TRADE FINANCIAL CORP,927.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297377,719739,17120,10-Q,20111104,SVB FINANCIAL GROUP,471.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-297408,927066,61483,10-Q,20111104,DAVITA INC,1119.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297410,1137774,143356,10-Q,20111104,PRUDENTIAL FINANCIAL INC,1182.0,125.0,0.0,0.0,0.0,0.0
0001193125-11-297514,1018963,10405,10-Q,20111104,ALLEGHENY TECHNOLOGIES INC,474.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297579,1038357,14359,10-Q,20111104,PIONEER NATURAL RESOURCES CO,588.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-297580,882095,24856,10-Q,20111104,GILEAD SCIENCES INC,1061.0,959.0,0.0,0.0,0.0,0.0
0001193125-11-297669,50863,6008,10-Q,20111104,INTEL CORP,1206.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297691,1058290,111864,10-Q,20111104,COGNIZANT TECH SOLUTIONS,447.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297728,1408198,178507,10-Q,20111104,MSCI INC,1040.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-297747,851968,25119,10-Q,20111104,MOHAWK INDUSTRIES INC,741.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297764,1110803,138205,10-Q,20111104,ILLUMINA INC,584.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-297961,789570,14418,10-Q,20111107,MGM RESORTS INTERNATIONAL,1201.0,527.0,0.0,0.0,0.0,0.0
0001193125-11-298911,80661,13341,10-Q,20111107,PROGRESSIVE CORP-OHIO,379.0,30.0,0.0,0.0,0.0,0.0
0001193125-11-299217,51434,6104,10-Q,20111107,INTL PAPER CO,1099.0,1.0,0.0,0.0,0.0,0.0
0001193125-11-299302,1324424,126296,10-Q,20111107,EXPEDIA GROUP INC,448.0,1.0,0.0,0.0,0.0,0.0
0001193125-11-299375,915912,29875,10-Q,20111107,AVALONBAY COMMUNITIES INC,459.0,859.0,0.0,0.0,0.0,0.0
0001193125-11-299501,352915,11032,10-Q,20111107,UNIVERSAL HEALTH SVCS INC,464.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-299503,916076,29733,10-Q,20111107,MARTIN MARIETTA MATERIALS,577.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-299704,316709,13988,10-Q,20111107,SCHWAB (CHARLES) CORP,919.0,48.0,0.0,0.0,0.0,0.0
0001193125-11-299750,93556,10016,10-Q,20111107,STANLEY BLACK & DECKER INC,1074.0,13.0,0.0,0.0,0.0,0.0
0001193125-11-299763,1276520,158354,10-Q,20111107,GENWORTH FINANCIAL INC,756.0,18.0,0.0,0.0,0.0,0.0
0001193125-11-299810,1011006,62634,10-Q,20111107,ALTABA INC,1163.0,8.0,0.0,0.0,0.0,0.0
0001193125-11-299857,75362,8253,10-Q,20111107,PACCAR INC,337.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-299890,895421,12124,10-Q,20111107,MORGAN STANLEY,1391.0,97.0,0.0,0.0,0.0,0.0
0001193125-11-299974,815094,13619,10-Q,20111107,ABIOMED INC,256.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-299989,1297996,160991,10-Q,20111107,DIGITAL REALTY TRUST INC,913.0,1347.0,0.0,0.0,0.0,0.0
0001193125-11-300062,927628,30990,10-Q,20111107,CAPITAL ONE FINANCIAL CORP,1614.0,5.0,0.0,0.0,0.0,0.0
0001193125-11-300547,36966,4737,10-Q,20111108,FIRST HORIZON NATIONAL CORP,1757.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-300995,51253,6078,10-Q,20111108,INTL FLAVORS & FRAGRANCES,461.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301024,72971,8007,10-Q,20111108,WELLS FARGO & CO,1325.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301152,1457543,183257,10-Q,20111108,CAREFUSION CORP,719.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301292,713676,8245,10-Q,20111108,PNC FINANCIAL SVCS GROUP INC,2087.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301448,320335,10614,10-Q,20111108,GLOBE LIFE INC,371.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-301458,878927,24617,10-Q,20111108,OLD DOMINION FREIGHT,157.0,13.0,0.0,0.0,0.0,0.0
0001193125-11-301547,894315,27780,10-Q,20111108,SITE CENTERS CORP,1017.0,215.0,0.0,0.0,0.0,0.0
0001193125-11-301638,877212,24405,10-Q,20111108,ZEBRA TECHNOLOGIES CP  -CL A,747.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301679,317771,10420,10-Q,20111108,TELLABS INC,701.0,16.0,0.0,0.0,0.0,0.0
0001193125-11-301771,354908,28477,10-Q,20111108,FLIR SYSTEMS INC,758.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301773,1326160,4093,10-Q,20111108,DUKE ENERGY CORP,2154.0,40.0,0.0,0.0,0.0,0.0
0001193125-11-301864,1373835,176282,10-Q,20111108,SPECTRA ENERGY CORP,834.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301873,1037949,61489,10-Q,20111108,QWEST COMMUNICATION INTL INC,897.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-301996,48039,5667,10-Q,20111108,HOLLYFRONTIER CORP,255.0,82.0,0.0,0.0,0.0,0.0
0001193125-11-302024,804212,12950,10-Q,20111108,AIRGAS INC,1020.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-302027,1002910,10860,10-Q,20111108,AMEREN CORP,1354.0,21.0,0.0,0.0,0.0,0.0
0001193125-11-302148,91142,9771,10-Q,20111108,SMITH (A.O.),594.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-302235,898173,28180,10-Q,20111108,O'REILLY AUTOMOTIVE INC,589.0,4.0,0.0,0.0,0.0,0.0
0001193125-11-302242,1390777,2019,10-Q,20111108,BANK OF NEW YORK MELLON CORP,1492.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-302274,712515,16721,10-Q,20111108,ELECTRONIC ARTS INC,944.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-302336,23666,9411,10-Q,20111108,HILLSHIRE BRANDS CO,657.0,92.0,0.0,0.0,0.0,0.0
0001193125-11-302435,1045609,29984,10-Q,20111108,PROLOGIS INC,548.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-302448,1037540,64925,10-Q,20111108,BOSTON PROPERTIES INC,531.0,7.0,0.0,0.0,0.0,0.0
0001193125-11-302451,8818,1913,10-Q,20111108,AVERY DENNISON CORP,954.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-302591,1364742,124434,10-Q,20111109,BLACKROCK INC,899.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-303419,1467858,5073,10-Q,20111109,GENERAL MOTORS CO,806.0,78.0,0.0,0.0,0.0,0.0
0001193125-11-303648,76334,8358,10-Q,20111109,PARKER-HANNIFIN CORP,727.0,53.0,0.0,0.0,0.0,0.0
0001193125-11-303810,1043277,65609,10-Q,20111109,C H ROBINSON WORLDWIDE INC,538.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-303882,861878,63527,10-Q,20111109,STERICYCLE INC,1054.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-303929,931336,62655,10-Q,20111109,DEAN FOODS CO,1481.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-303968,943452,60979,10-Q,20111109,WABTEC CORP,1004.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304091,73309,8030,10-Q,20111109,NUCOR CORP,699.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304112,1156375,149070,10-Q,20111109,CME GROUP INC,877.0,1.0,0.0,0.0,0.0,0.0
0001193125-11-304146,1510295,186989,10-Q,20111109,MARATHON PETROLEUM CORP,888.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304207,109380,11687,10-Q,20111109,ZIONS BANCORPORATION NA,843.0,116.0,0.0,0.0,0.0,0.0
0001193125-11-304217,35527,4640,10-Q,20111109,FIFTH THIRD BANCORP,1578.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304221,1174922,149318,10-Q,20111109,WYNN RESORTS LTD,369.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-304244,1138118,260774,10-Q,20111109,CBRE GROUP INC,733.0,43.0,0.0,0.0,0.0,0.0
0001193125-11-304459,92230,11856,10-Q,20111109,TRUIST FINANCIAL CORP,1159.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304463,36270,4699,10-Q,20111109,M & T BANK CORP,815.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-304590,55067,6375,10-Q,20111109,KELLOGG CO,389.0,6.0,0.0,0.0,0.0,0.0
0001193125-11-304591,874501,24287,10-Q,20111109,AMBAC FINANCIAL GROUP INC,530.0,119.0,0.0,0.0,0.0,0.0
0001193125-11-304637,1378946,16245,10-Q,20111109,PEOPLE'S UNITED FINL INC,1292.0,12.0,0.0,0.0,0.0,0.0
0001193125-11-304692,789073,1408,10-Q,20111109,BEAM INC,478.0,86.0,0.0,0.0,0.0,0.0
0001193125-11-304695,18349,13041,10-Q,20111109,SYNOVUS FINANCIAL CORP,776.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304715,104889,11300,10-Q,20111109,GRAHAM HOLDINGS CO,1644.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-304766,895126,27786,10-Q,20111109,CHESAPEAKE ENERGY CORP,737.0,46.0,0.0,0.0,0.0,0.0
0001193125-11-304787,1430602,180167,10-Q,20111109,SCRIPPS NETWORKS INTERACTIVE,852.0,222.0,0.0,0.0,0.0,0.0
0001193125-11-304797,860730,22260,10-Q,20111109,HCA HEALTHCARE INC,217.0,65.0,0.0,0.0,0.0,0.0
0001193125-11-304800,814585,13561,10-Q,20111109,MBIA INC,928.0,5.0,0.0,0.0,0.0,0.0
0001193125-11-304833,2488,1161,10-Q,20111109,ADVANCED MICRO DEVICES,567.0,195.0,0.0,0.0,0.0,0.0
0001193125-11-305494,703360,6529,10-Q,20111110,LSI CORP,492.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-305888,1339947,165675,10-K,20111110,VIACOM INC,1362.0,9.0,0.0,0.0,0.0,0.0
0001193125-11-305928,1501585,186310,10-Q,20111110,HUNTINGTON INGALLS IND INC,568.0,6.0,0.0,0.0,0.0,0.0
0001193125-11-306303,883569,28118,10-Q,20111110,FOSSIL GROUP INC,543.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-306951,103379,11060,10-Q,20111110,VF CORP,1152.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-306979,1519751,188255,10-Q,20111110,FORTUNE BRANDS HOME & SECUR,373.0,224.0,0.0,0.0,0.0,0.0
0001193125-11-307011,858339,20423,10-Q,20111110,CAESARS ENTERTAINMENT CORP,582.0,3.0,0.0,0.0,0.0,0.0
0001193125-11-310659,97210,10453,10-Q,20111114,TERADYNE INC,514.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-310778,1402057,28320,10-Q,20111114,CDW CORP,289.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-310859,1175454,184700,10-Q,20111114,FLEETCOR TECHNOLOGIES INC,288.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-314963,1310067,6307,10-Q,20111117,SEARS HOLDINGS CORP,488.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-315956,1403161,179534,10-K,20111118,VISA INC,1470.0,345.0,0.0,0.0,0.0,0.0
0001193125-11-316657,1260221,148349,10-K,20111118,TRANSDIGM GROUP INC,1290.0,44.0,0.0,0.0,0.0,0.0
0001193125-11-317175,829224,25434,10-K,20111118,STARBUCKS CORP,1677.0,197.0,0.0,0.0,0.0,0.0
0001193125-11-317791,100493,10793,10-K,20111121,TYSON FOODS INC  -CL A,2245.0,513.0,0.0,0.0,0.0,0.0
0001193125-11-318681,52988,6216,10-K,20111121,JACOBS ENGINEERING GROUP INC,957.0,103.0,0.0,0.0,0.0,0.0
0001193125-11-318885,1048695,121077,10-K,20111122,F5 NETWORKS INC,735.0,98.0,0.0,0.0,0.0,0.0
0001193125-11-319161,858877,20779,10-Q,20111122,CISCO SYSTEMS INC,1340.0,1009.0,0.0,0.0,0.0,0.0
0001193125-11-319237,832988,15520,10-Q,20111122,SIGNET JEWELERS LTD,285.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-319887,2969,1209,10-K,20111122,AIR PRODUCTS & CHEMICALS INC,1963.0,279.0,0.0,0.0,0.0,0.0
0001193125-11-320244,1385187,177264,10-K,20111123,COVIDIEN PLC,1880.0,36.0,0.0,0.0,0.0,0.0
0001193125-11-320641,859737,20904,10-K,20111123,HOLOGIC INC,2152.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-320717,863157,28648,10-Q,20111123,PETSMART INC,274.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-321337,203527,11115,10-K,20111123,VARIAN MEDICAL SYSTEMS INC,1869.0,1660.0,0.0,0.0,0.0,0.0
0001193125-11-324675,1108524,157855,10-Q,20111129,SALESFORCE.COM INC,1073.0,137.0,0.0,0.0,0.0,0.0
0001193125-11-327525,1403568,178704,10-Q,20111201,ULTA BEAUTY INC,147.0,1.0,0.0,0.0,0.0,0.0
0001193125-11-328862,885639,25283,10-Q,20111202,KOHL'S CORP,317.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-329758,794367,4611,10-Q,20111205,MACY'S INC,481.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-330462,1002047,61591,10-Q,20111205,NETAPP INC,952.0,91.0,0.0,0.0,0.0,0.0
0001193125-11-330630,12659,2269,10-Q,20111205,BLOCK H & R INC,1186.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-332050,6951,1704,10-K,20111206,APPLIED MATERIALS INC,1259.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-332153,769397,1878,10-Q,20111206,AUTODESK INC,1106.0,2.0,0.0,0.0,0.0,0.0
0001193125-11-332861,16732,2663,10-Q,20111207,CAMPBELL SOUP CO,775.0,11.0,0.0,0.0,0.0,0.0
0001193125-11-333582,72333,7922,10-Q,20111207,NORDSTROM INC,394.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-333590,39911,4990,10-Q,20111207,GAP INC,634.0,171.0,0.0,0.0,0.0,0.0
0001193125-11-333737,1326380,145049,10-Q,20111207,GAMESTOP CORP,505.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-335136,891024,25880,10-Q,20111208,PATTERSON COS INC,586.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-335177,104169,11259,10-Q,20111208,WALMART INC,390.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-335289,1336920,165123,10-Q,20111208,LEIDOS HOLDINGS INC,1009.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-336718,91419,9777,10-Q,20111209,SMUCKER (JM) CO,728.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-338130,912615,29150,10-Q,20111212,URBAN OUTFITTERS INC,211.0,66.0,0.0,0.0,0.0,0.0
0001193125-11-343034,883241,24975,10-K,20111216,SYNOPSYS INC,1380.0,1099.0,0.0,0.0,0.0,0.0
0001193125-11-343993,711404,3504,10-K,20111216,COOPER COS INC (THE),1445.0,51.0,0.0,0.0,0.0,0.0
0001193125-11-347162,40704,5071,10-Q,20111220,GENERAL MILLS INC,903.0,443.0,0.0,0.0,0.0,0.0
0001193125-11-347321,723531,8402,10-Q,20111220,PAYCHEX INC,502.0,0.0,0.0,0.0,0.0,0.0
0001193125-11-351954,1341439,12142,10-Q,20111223,ORACLE CORP,1123.0,107.0,0.0,0.0,0.0,0.0
0001193125-11-356099,23217,3362,10-Q,20111230,CONAGRA BRANDS INC,989.0,101.0,0.0,0.0,0.0,0.0
0001206774-11-002300,872589,23812,10-Q,20111027,REGENERON PHARMACEUTICALS,417.0,125.0,0.0,0.0,0.0,0.0
0001206774-11-002394,21076,3121,10-Q,20111103,CLOROX CO/DE,286.0,7.0,0.0,0.0,0.0,0.0
0001206774-11-002415,8670,1891,10-Q,20111104,AUTOMATIC DATA PROCESSING,822.0,154.0,0.0,0.0,0.0,0.0
0001206774-11-002553,1137411,144066,10-K,20111115,ROCKWELL COLLINS,1784.0,43.0,0.0,0.0,0.0,0.0
0001206774-11-002790,745732,9248,10-Q,20111207,ROSS STORES INC,272.0,261.0,0.0,0.0,0.0,0.0
0001206774-11-002827,75829,8304,10-Q,20111209,PALL CORP,603.0,1.0,0.0,0.0,0.0,0.0
0001234452-11-000360,804328,24800,10-K,20111102,QUALCOMM INC,1564.0,0.0,0.0,0.0,0.0,0.0
0001262039-11-000039,1262039,183377,10-Q,20111104,FORTINET INC,217.0,0.0,0.0,0.0,0.0,0.0
0001274494-11-000055,1274494,175404,10-Q,20111104,FIRST SOLAR INC,949.0,8.0,0.0,0.0,0.0,0.0
0001279363-11-000086,1279363,260778,10-Q,20111102,WELLCARE HEALTH PLANS INC,586.0,237.0,0.0,0.0,0.0,0.0
0001282266-11-000015,1282266,174490,10-Q,20111104,WINDSTREAM HOLDINGS INC,1112.0,0.0,0.0,0.0,0.0,0.0
0001306830-11-000080,1306830,162254,10-Q,20111026,CELANESE CORP,1638.0,8.0,0.0,0.0,0.0,0.0
0001393311-11-000048,1393311,10096,10-Q,20111107,PUBLIC STORAGE,677.0,1.0,0.0,0.0,0.0,0.0
0001398432-11-000871,879101,24731,10-Q,20111104,KIMCO REALTY CORP,568.0,0.0,0.0,0.0,0.0,0.0
0001418135-11-000024,1418135,28877,10-Q,20111026,KEURIG DR PEPPER INC,819.0,0.0,0.0,0.0,0.0,0.0
0001437749-11-007854,728535,5783,10-Q,20111028,HUNT (JB) TRANSPRT SVCS INC,149.0,0.0,0.0,0.0,0.0,0.0
0001437749-11-009067,353944,6097,10-K,20111130,INTL GAME TECHNOLOGY,1425.0,355.0,0.0,0.0,0.0,0.0
0001445305-11-002911,1048286,28930,10-Q,20111007,MARRIOTT INTL INC,541.0,0.0,0.0,0.0,0.0,0.0
0001445305-11-003026,929887,31122,10-K,20111020,APOLLO EDUCATION GROUP INC,2924.0,1149.0,0.0,0.0,0.0,0.0
0001445305-11-003058,27904,3851,10-Q,20111025,DELTA AIR LINES INC,472.0,20.0,0.0,0.0,0.0,0.0
0001445305-11-003070,743316,14256,10-Q,20111026,MAXIM INTEGRATED PRODUCTS,1005.0,709.0,0.0,0.0,0.0,0.0
0001445305-11-003083,21665,3170,10-Q,20111027,COLGATE-PALMOLIVE CO,145.0,36.0,0.0,0.0,0.0,0.0
0001445305-11-003119,1466258,5959,10-Q,20111028,TRANE TECHNOLOGIES PLC,1269.0,0.0,0.0,0.0,0.0,0.0
0001445305-11-003134,1283699,17874,10-Q,20111101,T-MOBILE US INC,431.0,8.0,0.0,0.0,0.0,0.0
0001445305-11-003147,1062047,113419,10-Q,20111101,CONVERGYS CORP,906.0,2.0,0.0,0.0,0.0,0.0
0001445305-11-003160,827052,9846,10-Q,20111102,EDISON INTERNATIONAL,654.0,206.0,0.0,0.0,0.0,0.0
0001445305-11-003199,1013871,135990,10-Q,20111103,NRG ENERGY INC,859.0,0.0,0.0,0.0,0.0,0.0
0001445305-11-003213,24545,3505,10-Q,20111103,MOLSON COORS BEVERAGE CO,1323.0,12.0,0.0,0.0,0.0,0.0
0001445305-11-003229,1037646,65772,10-Q,20111104,METTLER-TOLEDO INTL INC,665.0,0.0,0.0,0.0,0.0,0.0
0001445305-11-003248,31791,4145,10-Q,20111104,PERKINELMER INC,1064.0,4.0,0.0,0.0,0.0,0.0
0001445305-11-003257,783280,13510,10-Q,20111104,DUKE REALTY CORP,311.0,1.0,0.0,0.0,0.0,0.0
0001445305-11-003304,1374310,184500,10-Q,20111108,CBOE GLOBAL MARKETS INC,171.0,75.0,0.0,0.0,0.0,0.0
0001445305-11-003341,1086222,125595,10-Q,20111109,AKAMAI TECHNOLOGIES INC,639.0,0.0,0.0,0.0,0.0,0.0
0001445305-11-003514,701985,6733,10-Q,20111202,L BRANDS INC,910.0,0.0,0.0,0.0,0.0,0.0
0001451505-11-000087,1451505,28338,10-Q,20111103,TRANSOCEAN LTD,356.0,669.0,0.0,0.0,0.0,0.0
0001506307-11-000128,1506307,6310,10-Q,20111102,KINDER MORGAN INC,567.0,0.0,0.0,0.0,0.0,0.0
0000004127-12-000010,4127,1327,10-Q,20120207,SKYWORKS SOLUTIONS INC,757.0,1.0,0.0,0.0,0.0,0.0
0000004904-12-000013,4904,1440,10-K,20120228,AMERICAN ELECTRIC POWER CO,2068.0,183.0,0.0,0.0,0.0,0.0
0000005513-12-000006,5513,12726,10-K,20120224,UNUM GROUP,1459.0,2.0,0.0,0.0,0.0,0.0
0000007084-12-000010,7084,1722,10-Q,20120206,ARCHER-DANIELS-MIDLAND CO,430.0,0.0,0.0,0.0,0.0,0.0
0000007332-12-000003,7332,9904,10-K,20120228,SOUTHWESTERN ENERGY CO,919.0,213.0,0.0,0.0,0.0,0.0
0000008670-12-000002,8670,1891,10-Q,20120207,AUTOMATIC DATA PROCESSING,782.0,0.0,0.0,0.0,0.0,0.0
0000008868-12-000010,8868,1920,10-K,20120229,AVON PRODUCTS,1841.0,48.0,0.0,0.0,0.0,0.0
0000011544-12-000021,11544,14822,10-K,20120228,BERKLEY (W R) CORP,969.0,128.0,0.0,0.0,0.0,0.0
0000014693-12-000024,14693,2435,10-Q,20120308,BROWN FORMAN CORP,301.0,0.0,0.0,0.0,0.0,0.0
0000014930-12-000028,14930,2444,10-K,20120223,BRUNSWICK CORP,1559.0,58.0,0.0,0.0,0.0,0.0
0000019617-12-000163,19617,2968,10-K,20120229,JPMORGAN CHASE & CO,3610.0,411.0,0.0,0.0,0.0,0.0
0000020520-12-000020,20520,135484,10-K,20120223,FRONTIER COMMUNICATIONS CORP,1210.0,33.0,0.0,0.0,0.0,0.0
0000021344-12-000007,21344,3144,10-K,20120223,COCA-COLA CO,2101.0,333.0,0.0,0.0,0.0,0.0
0000028412-12-000031,28412,3231,10-K,20120221,COMERICA INC,1966.0,144.0,0.0,0.0,0.0,0.0
0000029905-12-000008,29905,4058,10-K,20120210,DOVER CORP,2426.0,535.0,0.0,0.0,0.0,0.0
0000029989-12-000005,29989,4066,10-K,20120217,OMNICOM GROUP,1560.0,96.0,0.0,0.0,0.0,0.0
0000030554-12-000005,30554,4087,10-K,20120209,DU PONT (E I) DE NEMOURS,1613.0,91.0,0.0,0.0,0.0,0.0
0000030625-12-000005,30625,4108,10-K,20120222,FLOWSERVE CORP,1649.0,43.0,0.0,0.0,0.0,0.0
0000031235-12-000036,31235,4194,10-K,20120229,EASTMAN KODAK CO,2583.0,1583.0,0.0,0.0,0.0,0.0
0000034903-12-000008,34903,4605,10-K,20120216,FEDERAL REALTY INVESTMENT TR,604.0,7.0,0.0,0.0,0.0,0.0
0000037785-12-000004,37785,4510,10-K,20120221,FMC CORP,1868.0,9.0,0.0,0.0,0.0,0.0
0000037996-12-000007,37996,4839,10-K,20120221,FORD MOTOR CO,1193.0,111.0,0.0,0.0,0.0,0.0
0000038074-12-000004,38074,4843,10-Q,20120209,FOREST LABORATORIES  -CL A,534.0,1086.0,0.0,0.0,0.0,0.0
0000038777-12-000007,38777,4885,10-Q,20120201,FRANKLIN RESOURCES INC,552.0,111.0,0.0,0.0,0.0,0.0
0000040545-12-000016,40545,5047,10-K,20120224,GENERAL ELECTRIC CO,2460.0,1.0,0.0,0.0,0.0,0.0
0000045012-12-000075,45012,5439,10-K,20120216,HALLIBURTON CO,972.0,163.0,0.0,0.0,0.0,0.0
0000050104-12-000020,50104,10466,10-K,20120224,ANDEAVOR,1811.0,11.0,0.0,0.0,0.0,0.0
0000051644-12-000005,51644,6136,10-K,20120224,INTERPUBLIC GROUP OF COS,1381.0,229.0,0.0,0.0,0.0,0.0
0000052988-12-000005,52988,6216,10-Q,20120127,JACOBS ENGINEERING GROUP INC,282.0,0.0,0.0,0.0,0.0,0.0
0000054480-12-000019,54480,6335,10-K,20120208,KANSAS CITY SOUTHERN,922.0,227.0,0.0,0.0,0.0,0.0
0000055785-12-000021,55785,6435,10-K,20120229,KIMBERLY-CLARK CORP,1148.0,0.0,0.0,0.0,0.0,0.0
0000059558-12-000027,59558,6742,10-K,20120223,LINCOLN NATIONAL CORP,1265.0,85.0,0.0,0.0,0.0,0.0
0000062709-12-000016,62709,7065,10-K,20120228,MARSH & MCLENNAN COS,1620.0,21.0,0.0,0.0,0.0,0.0
